Age_Group,Gender,Department,Job_Level,Tenure,Work_Arrangement,Employment_Type,Training_Recency,Role_Specific_Training,Self_Rated_Knowledge,Phishing_Score,Phishing_Pass,Password_Change_Freq,MFA_Use,Personal_Device_Use,Report_Suspicious_Email,Admin_Privileges,Security_Culture_Perception,Stress_Level,Time_Pressure,IT_Support_Confidence,Incidents_Caused_Category,Incidents_Raw_Count,Security_Behavior_Tags
25-34,Male,HR,Manager,5-10 yrs,Hybrid,Permanent,3-6 mo,Yes,4,66,Yes,Rarely,Always,Often,Sometimes,No,1,3,4,2,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Male,Marketing,Entry,5-10 yrs,Fully Remote,Permanent,< 3 months,Yes,2,54,No,Sometimes,Always,Often,Often,Yes,4,2,5,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work,Admin_Priv"
55+,Male,Other,Entry,< 1 yr,On-site,Permanent,Never,Yes,4,50,No,Rarely,Always,Never,Always,No,3,3,4,4,0,0,"Uses_MFA,Reports_Phishing"
35-44,Female,Finance,Manager,> 10 yrs,Fully Remote,Permanent,3-6 mo,Yes,5,71,Yes,Often,Always,Always,Never,No,2,3,5,4,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Prefer not to say,Sales,Manager,1-3 yrs,On-site,Permanent,> 12 mo,No,2,42,No,Often,Never,Rarely,Rarely,No,5,5,2,4,1,1,Early_Password_Change
35-44,Female,Marketing,Entry,< 1 yr,Hybrid,Permanent,6-12 mo,Yes,4,55,No,Sometimes,Always,Sometimes,Sometimes,No,4,3,2,4,1,1,"Uses_MFA,Personal_Device_Use"
18-24,Prefer not to say,Operations,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,39,No,Sometimes,Always,Sometimes,Rarely,No,4,2,4,4,0,0,"Uses_MFA,Personal_Device_Use"
45-54,Female,Sales,Director,5-10 yrs,Hybrid,Permanent,< 3 months,Yes,4,45,No,Rarely,Always,Rarely,Often,No,3,5,5,4,0,0,"Uses_MFA,Reports_Phishing"
25-34,Female,HR,Intermediate,3-5 yrs,On-site,Permanent,3-6 mo,No,4,86,Yes,Often,Always,Always,Always,No,3,4,3,1,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,2,55,No,Often,Always,Sometimes,Sometimes,No,5,3,3,5,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,HR,Entry,3-5 yrs,On-site,Permanent,3-6 mo,No,4,39,No,Rarely,Sometimes,Never,Rarely,No,5,4,3,4,0,0,Uses_MFA
25-34,Female,Other,Director,> 10 yrs,Fully Remote,Permanent,6-12 mo,Yes,5,82,Yes,Rarely,Sometimes,Always,Sometimes,No,5,3,4,3,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
45-54,Female,IT,Entry,3-5 yrs,Hybrid,Contractor,6-12 mo,Yes,4,76,Yes,Often,Always,Sometimes,Often,No,2,2,3,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Male,Marketing,Director,> 10 yrs,On-site,Permanent,< 3 months,No,4,98,Yes,Always,Always,Sometimes,Always,No,4,4,4,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Female,Marketing,Entry,1-3 yrs,On-site,Permanent,< 3 months,Yes,4,80,Yes,Sometimes,Sometimes,Sometimes,Often,No,3,1,3,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Non-binary,Other,Intermediate,1-3 yrs,Hybrid,Contractor,3-6 mo,Yes,2,46,No,Sometimes,Always,Rarely,Rarely,Yes,5,1,5,4,2-3,2,"Uses_MFA,Admin_Priv"
25-34,Female,IT,Manager,3-5 yrs,Hybrid,Contractor,6-12 mo,Yes,3,71,Yes,Often,Always,Rarely,Rarely,No,2,3,3,5,1,1,"Uses_MFA,Early_Password_Change"
35-44,Male,Finance,Manager,3-5 yrs,Hybrid,Permanent,6-12 mo,No,3,64,Yes,Sometimes,Always,Never,Always,No,2,4,3,2,0,0,"Uses_MFA,Reports_Phishing"
25-34,Male,R&D,Entry,1-3 yrs,Fully Remote,Permanent,3-6 mo,No,4,72,Yes,Sometimes,Sometimes,Sometimes,Rarely,No,3,4,4,4,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work"
35-44,Male,Operations,Entry,< 1 yr,Fully Remote,Contractor,< 3 months,Yes,4,71,Yes,Rarely,Always,Never,Sometimes,No,4,4,3,5,2-3,3,"Uses_MFA,Remote_Work"
25-34,Female,Marketing,Intermediate,1-3 yrs,Fully Remote,Permanent,3-6 mo,Yes,2,84,Yes,Rarely,Always,Sometimes,Sometimes,No,4,2,3,4,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work"
18-24,Male,Sales,Entry,1-3 yrs,On-site,Permanent,3-6 mo,No,3,73,Yes,Sometimes,Never,Rarely,Sometimes,No,2,4,5,3,2-3,2,None
25-34,Male,Sales,Intermediate,1-3 yrs,On-site,Permanent,> 12 mo,Yes,3,75,Yes,Rarely,Always,Often,Sometimes,No,5,4,3,3,1,1,"Uses_MFA,Personal_Device_Use"
18-24,Male,Operations,Manager,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,5,36,No,Often,Always,Sometimes,Sometimes,No,3,2,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,Marketing,Entry,< 1 yr,On-site,Permanent,3-6 mo,Yes,2,71,Yes,Sometimes,Always,Never,Always,No,4,5,2,2,0,0,"Uses_MFA,Reports_Phishing"
35-44,Male,Operations,Manager,> 10 yrs,On-site,Permanent,< 3 months,Yes,5,68,Yes,Often,Always,Rarely,Always,No,3,4,5,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Male,IT,Intermediate,> 10 yrs,On-site,Permanent,< 3 months,Yes,2,49,No,Rarely,Never,Always,Always,No,2,4,5,4,>3,4,"Reports_Phishing,Personal_Device_Use"
25-34,Non-binary,Sales,Manager,5-10 yrs,Fully Remote,Permanent,< 3 months,No,3,79,Yes,Sometimes,Always,Rarely,Rarely,No,3,2,2,3,0,0,"Uses_MFA,Remote_Work"
25-34,Female,R&D,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,Yes,2,57,No,Never,Sometimes,Never,Rarely,No,3,1,4,2,1,1,Uses_MFA
18-24,Female,Finance,Entry,< 1 yr,On-site,Intern,6-12 mo,Yes,3,69,Yes,Sometimes,Always,Often,Often,No,3,5,3,1,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Female,IT,Manager,> 10 yrs,Hybrid,Intern,< 3 months,Yes,4,65,Yes,Sometimes,Sometimes,Always,Often,Yes,3,4,3,4,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Female,Operations,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,3,55,No,Often,Always,Never,Sometimes,No,4,3,3,2,2-3,3,"Uses_MFA,Early_Password_Change"
25-34,Female,Marketing,Entry,3-5 yrs,Fully Remote,Permanent,6-12 mo,No,2,26,No,Rarely,Always,Often,Often,No,3,5,2,1,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Operations,Director,> 10 yrs,Fully Remote,Permanent,3-6 mo,No,4,65,Yes,Rarely,Always,Often,Sometimes,No,1,3,5,4,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Prefer not to say,Sales,Entry,< 1 yr,On-site,Contractor,3-6 mo,Yes,5,81,Yes,Sometimes,Sometimes,Rarely,Never,Yes,4,4,3,3,1,1,"Uses_MFA,Admin_Priv"
55+,Male,Marketing,Entry,< 1 yr,Hybrid,Intern,> 12 mo,Yes,3,43,No,Sometimes,Always,Often,Sometimes,Yes,5,2,4,5,1,1,"Uses_MFA,Personal_Device_Use,Admin_Priv"
25-34,Female,Operations,Entry,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,4,68,Yes,Always,Sometimes,Often,Always,No,4,1,3,5,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Male,Marketing,Entry,1-3 yrs,Fully Remote,Permanent,< 3 months,Yes,5,85,Yes,Rarely,Always,Often,Always,No,3,2,5,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Operations,Manager,1-3 yrs,On-site,Permanent,> 12 mo,Yes,1,38,No,Rarely,Always,Rarely,Often,No,3,4,2,5,>3,4,"Uses_MFA,Reports_Phishing"
18-24,Female,Marketing,Executive,5-10 yrs,Hybrid,Permanent,< 3 months,No,3,93,Yes,Often,Never,Sometimes,Often,No,4,2,5,5,2-3,3,"Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,IT,Manager,5-10 yrs,Fully Remote,Permanent,3-6 mo,No,5,78,Yes,Rarely,Sometimes,Rarely,Rarely,No,3,2,5,2,0,0,"Uses_MFA,Remote_Work"
35-44,Male,Sales,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,54,No,Rarely,Never,Never,Always,No,3,3,3,5,0,0,Reports_Phishing
25-34,Male,Operations,Entry,< 1 yr,On-site,Permanent,Never,Yes,3,56,No,Always,Always,Always,Always,No,1,4,4,4,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,IT,Entry,< 1 yr,Hybrid,Permanent,< 3 months,Yes,4,87,Yes,Often,Always,Always,Sometimes,Yes,3,4,4,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
25-34,Male,Finance,Entry,3-5 yrs,On-site,Permanent,3-6 mo,Yes,4,68,Yes,Often,Always,Rarely,Often,No,4,3,3,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Female,Sales,Entry,1-3 yrs,On-site,Intern,3-6 mo,Yes,4,68,Yes,Sometimes,Always,Sometimes,Often,No,1,5,4,5,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Female,Marketing,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,3,56,No,Never,Always,Rarely,Always,No,3,2,1,4,1,1,"Uses_MFA,Reports_Phishing"
55+,Prefer not to say,R&D,Manager,3-5 yrs,On-site,Permanent,6-12 mo,No,3,31,No,Sometimes,Always,Sometimes,Often,No,5,3,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
18-24,Male,Sales,Director,1-3 yrs,On-site,Contractor,< 3 months,Yes,2,64,Yes,Rarely,Sometimes,Rarely,Sometimes,No,5,2,5,2,1,1,Uses_MFA
35-44,Male,HR,Intermediate,3-5 yrs,On-site,Permanent,< 3 months,Yes,4,63,Yes,Sometimes,Sometimes,Rarely,Sometimes,No,5,3,4,4,1,1,Uses_MFA
35-44,Non-binary,IT,Intermediate,5-10 yrs,On-site,Permanent,> 12 mo,No,3,72,Yes,Always,Always,Sometimes,Always,Yes,4,4,5,2,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Male,Other,Director,5-10 yrs,On-site,Permanent,6-12 mo,Yes,4,71,Yes,Always,Sometimes,Never,Often,No,2,3,3,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,Operations,Entry,< 1 yr,Hybrid,Permanent,6-12 mo,Yes,4,75,Yes,Always,Never,Never,Often,No,1,2,2,4,2-3,3,"Early_Password_Change,Reports_Phishing"
18-24,Male,IT,Executive,5-10 yrs,Hybrid,Contractor,3-6 mo,No,3,39,No,Often,Always,Often,Often,No,5,3,3,5,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,IT,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,51,No,Often,Always,Never,Always,No,4,2,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
35-44,Female,Operations,Executive,3-5 yrs,Fully Remote,Permanent,< 3 months,Yes,2,69,Yes,Sometimes,Always,Often,Often,No,3,3,3,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,HR,Intermediate,5-10 yrs,Hybrid,Permanent,> 12 mo,No,3,36,No,Always,Always,Rarely,Often,No,4,4,4,2,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,IT,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,Yes,1,56,No,Always,Always,Often,Often,Yes,4,5,2,3,>3,4,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
35-44,Female,Finance,Manager,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,3,52,No,Always,Sometimes,Sometimes,Always,No,3,4,4,3,2-3,2,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
35-44,Male,IT,Entry,< 1 yr,Hybrid,Permanent,< 3 months,Yes,3,54,No,Rarely,Always,Sometimes,Sometimes,No,4,3,5,4,0,0,"Uses_MFA,Personal_Device_Use"
55+,Male,Operations,Intermediate,1-3 yrs,Hybrid,Permanent,6-12 mo,No,3,63,Yes,Always,Never,Never,Sometimes,No,3,4,3,4,0,0,Early_Password_Change
35-44,Male,HR,Director,> 10 yrs,Fully Remote,Permanent,3-6 mo,Yes,5,40,No,Always,Always,Rarely,Often,No,3,5,3,5,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
25-34,Female,Sales,Intermediate,1-3 yrs,Hybrid,Intern,3-6 mo,Yes,2,65,Yes,Often,Sometimes,Rarely,Always,No,4,4,5,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,Marketing,Entry,< 1 yr,On-site,Contractor,> 12 mo,Yes,3,47,No,Always,Sometimes,Always,Often,No,3,3,4,4,>3,4,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Operations,Intermediate,3-5 yrs,Fully Remote,Permanent,3-6 mo,No,4,83,Yes,Often,Sometimes,Rarely,Always,No,5,1,5,4,2-3,3,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
25-34,Female,Finance,Manager,1-3 yrs,On-site,Contractor,6-12 mo,No,2,75,Yes,Often,Always,Never,Often,No,2,4,3,1,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
45-54,Male,Sales,Entry,1-3 yrs,Hybrid,Contractor,6-12 mo,No,4,69,Yes,Never,Always,Never,Sometimes,No,3,4,4,2,0,0,Uses_MFA
25-34,Male,IT,Manager,> 10 yrs,Hybrid,Permanent,6-12 mo,No,2,71,Yes,Sometimes,Always,Sometimes,Often,No,3,4,5,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,Finance,Executive,> 10 yrs,Fully Remote,Permanent,> 12 mo,No,4,70,Yes,Often,Always,Sometimes,Sometimes,No,2,5,5,4,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Male,Operations,Entry,1-3 yrs,Hybrid,Contractor,< 3 months,Yes,4,100,Yes,Always,Always,Rarely,Sometimes,No,3,5,2,3,0,0,"Uses_MFA,Early_Password_Change"
55+,Male,Sales,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,48,No,Sometimes,Always,Never,Rarely,No,5,3,4,2,1,1,Uses_MFA
25-34,Male,Marketing,Entry,< 1 yr,Fully Remote,Contractor,6-12 mo,Yes,2,54,No,Often,Always,Sometimes,Sometimes,No,2,3,3,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Remote_Work"
25-34,Female,Marketing,Manager,3-5 yrs,Hybrid,Contractor,3-6 mo,No,2,36,No,Sometimes,Always,Often,Always,No,2,5,3,5,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Male,Sales,Director,5-10 yrs,Hybrid,Permanent,< 3 months,Yes,3,85,Yes,Always,Never,Always,Sometimes,No,3,2,5,4,1,1,"Early_Password_Change,Personal_Device_Use"
25-34,Male,Sales,Entry,< 1 yr,Hybrid,Permanent,3-6 mo,Yes,3,78,Yes,Often,Always,Rarely,Often,No,2,3,3,3,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Male,R&D,Intermediate,5-10 yrs,On-site,Permanent,3-6 mo,Yes,3,45,No,Often,Always,Often,Always,Yes,3,3,2,2,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Prefer not to say,HR,Intermediate,< 1 yr,Hybrid,Permanent,6-12 mo,Yes,3,63,Yes,Always,Sometimes,Sometimes,Rarely,No,4,2,3,4,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Female,R&D,Intermediate,3-5 yrs,Hybrid,Permanent,> 12 mo,Yes,1,51,No,Rarely,Sometimes,Rarely,Always,No,2,3,2,4,2-3,2,"Uses_MFA,Reports_Phishing"
25-34,Male,HR,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,No,4,59,No,Never,Always,Always,Always,No,3,3,4,2,>3,8,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Female,Sales,Intermediate,3-5 yrs,Hybrid,Permanent,6-12 mo,No,3,81,Yes,Always,Always,Rarely,Sometimes,No,4,4,4,3,0,0,"Uses_MFA,Early_Password_Change"
35-44,Male,Marketing,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,3,78,Yes,Often,Sometimes,Rarely,Always,Yes,1,1,5,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Admin_Priv"
35-44,Male,Sales,Intermediate,5-10 yrs,Hybrid,Permanent,< 3 months,Yes,5,68,Yes,Sometimes,Sometimes,Rarely,Sometimes,Yes,1,3,4,3,1,1,"Uses_MFA,Admin_Priv"
45-54,Male,HR,Entry,3-5 yrs,Fully Remote,Permanent,> 12 mo,Yes,3,80,Yes,Sometimes,Sometimes,Often,Sometimes,No,4,4,3,3,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Female,R&D,Entry,3-5 yrs,On-site,Contractor,< 3 months,Yes,2,65,Yes,Often,Always,Sometimes,Often,No,3,3,3,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
18-24,Male,Other,Entry,< 1 yr,Fully Remote,Permanent,3-6 mo,Yes,3,49,No,Rarely,Sometimes,Sometimes,Rarely,No,3,5,3,2,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Female,IT,Director,> 10 yrs,Fully Remote,Permanent,6-12 mo,Yes,4,31,No,Never,Never,Sometimes,Always,No,2,2,3,3,1,1,"Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Female,Operations,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,No,3,86,Yes,Often,Always,Often,Always,No,3,2,4,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Male,Sales,Manager,5-10 yrs,Fully Remote,Contractor,3-6 mo,Yes,3,64,Yes,Sometimes,Sometimes,Often,Sometimes,No,3,1,4,4,1,1,"Uses_MFA,Personal_Device_Use,Remote_Work"
25-34,Female,Other,Manager,< 1 yr,On-site,Permanent,< 3 months,No,3,80,Yes,Sometimes,Always,Rarely,Often,No,5,2,3,3,0,0,"Uses_MFA,Reports_Phishing"
45-54,Male,IT,Intermediate,1-3 yrs,On-site,Permanent,6-12 mo,Yes,4,85,Yes,Sometimes,Always,Rarely,Always,No,4,5,5,5,1,1,"Uses_MFA,Reports_Phishing"
25-34,Male,Operations,Entry,1-3 yrs,Hybrid,Contractor,6-12 mo,No,3,68,Yes,Rarely,Always,Sometimes,Always,No,5,4,4,3,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,R&D,Director,5-10 yrs,Hybrid,Permanent,6-12 mo,Yes,4,70,Yes,Often,Always,Often,Never,No,1,3,3,5,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Female,Marketing,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,Yes,3,66,Yes,Never,Sometimes,Often,Always,No,4,2,4,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
55+,Non-binary,HR,Intermediate,< 1 yr,Hybrid,Permanent,> 12 mo,Yes,4,74,Yes,Sometimes,Always,Often,Rarely,No,4,3,5,3,1,1,"Uses_MFA,Personal_Device_Use"
25-34,Male,Marketing,Intermediate,1-3 yrs,On-site,Permanent,< 3 months,Yes,3,75,Yes,Sometimes,Always,Never,Sometimes,No,3,2,3,4,0,0,Uses_MFA
25-34,Prefer not to say,Marketing,Entry,3-5 yrs,On-site,Permanent,< 3 months,Yes,3,83,Yes,Often,Always,Always,Always,No,3,5,5,3,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
45-54,Female,Operations,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,4,68,Yes,Often,Always,Rarely,Always,No,1,4,4,5,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing"
25-34,Female,Operations,Manager,3-5 yrs,Fully Remote,Permanent,3-6 mo,Yes,3,93,Yes,Often,Always,Rarely,Always,No,3,3,2,4,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Remote_Work"
35-44,Female,IT,Entry,< 1 yr,Hybrid,Intern,3-6 mo,No,3,65,Yes,Often,Always,Often,Always,Yes,3,1,2,4,0,0,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Admin_Priv"
45-54,Male,Sales,Intermediate,< 1 yr,Fully Remote,Permanent,6-12 mo,No,3,60,Yes,Sometimes,Always,Sometimes,Sometimes,No,1,4,5,3,2-3,2,"Uses_MFA,Personal_Device_Use,Remote_Work"
18-24,Female,Sales,Manager,5-10 yrs,On-site,Permanent,> 12 mo,Yes,4,75,Yes,Rarely,Always,Never,Rarely,Yes,2,3,3,3,2-3,2,"Uses_MFA,Admin_Priv"
18-24,Female,Marketing,Executive,> 10 yrs,On-site,Permanent,> 12 mo,Yes,4,87,Yes,Always,Always,Sometimes,Often,No,2,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Female,IT,Director,> 10 yrs,Hybrid,Permanent,6-12 mo,Yes,3,14,No,Often,Sometimes,Sometimes,Always,No,3,4,4,3,>3,4,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use"
25-34,Male,Finance,Manager,3-5 yrs,On-site,Permanent,< 3 months,Yes,4,86,Yes,Sometimes,Always,Always,Always,No,1,2,3,4,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
35-44,Prefer not to say,IT,Entry,< 1 yr,Hybrid,Permanent,3-6 mo,Yes,3,79,Yes,Sometimes,Always,Often,Often,Yes,3,2,3,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Admin_Priv"
25-34,Female,IT,Director,5-10 yrs,Hybrid,Permanent,6-12 mo,No,3,74,Yes,Sometimes,Always,Never,Sometimes,No,4,3,3,5,1,1,Uses_MFA
18-24,Male,Other,Entry,1-3 yrs,Hybrid,Permanent,3-6 mo,No,4,61,Yes,Often,Sometimes,Sometimes,Sometimes,Yes,3,1,3,1,2-3,3,"Uses_MFA,Early_Password_Change,Personal_Device_Use,Admin_Priv"
45-54,Female,Sales,Intermediate,< 1 yr,Fully Remote,Permanent,3-6 mo,No,3,52,No,Often,Always,Sometimes,Always,No,3,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Male,Other,Intermediate,5-10 yrs,On-site,Permanent,< 3 months,Yes,4,80,Yes,Sometimes,Sometimes,Often,Sometimes,No,3,3,3,3,0,0,"Uses_MFA,Personal_Device_Use"
35-44,Male,R&D,Manager,1-3 yrs,Fully Remote,Permanent,< 3 months,Yes,2,30,No,Rarely,Sometimes,Rarely,Always,No,4,3,5,2,1,1,"Uses_MFA,Reports_Phishing,Remote_Work"
25-34,Male,IT,Entry,< 1 yr,Fully Remote,Permanent,3-6 mo,Yes,4,63,Yes,Always,Sometimes,Sometimes,Often,No,3,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Reports_Phishing,Personal_Device_Use,Remote_Work"
35-44,Female,Sales,Intermediate,1-3 yrs,On-site,Permanent,3-6 mo,No,3,47,No,Sometimes,Always,Often,Sometimes,Yes,3,5,4,2,2-3,3,"Uses_MFA,Personal_Device_Use,Admin_Priv"
18-24,Male,IT,Entry,< 1 yr,Hybrid,Permanent,3-6 mo,No,3,45,No,Often,Sometimes,Sometimes,Sometimes,No,5,2,5,5,2-3,3,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Female,R&D,Manager,5-10 yrs,On-site,Permanent,> 12 mo,Yes,4,18,No,Rarely,Always,Often,Always,No,3,4,5,2,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
45-54,Prefer not to say,IT,Manager,5-10 yrs,Fully Remote,Permanent,> 12 mo,No,5,43,No,Sometimes,Always,Sometimes,Often,No,3,3,3,1,0,0,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,Marketing,Manager,1-3 yrs,Fully Remote,Contractor,3-6 mo,Yes,4,66,Yes,Sometimes,Always,Always,Often,No,3,3,2,3,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use,Remote_Work"
25-34,Male,Other,Intermediate,3-5 yrs,On-site,Permanent,6-12 mo,Yes,5,72,Yes,Sometimes,Never,Rarely,Rarely,No,4,2,4,4,1,1,None
18-24,Female,Sales,Director,5-10 yrs,On-site,Permanent,> 12 mo,Yes,1,63,Yes,Always,Always,Sometimes,Sometimes,No,3,3,3,2,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
25-34,Male,Marketing,Director,> 10 yrs,Hybrid,Permanent,< 3 months,Yes,5,51,No,Sometimes,Always,Sometimes,Rarely,Yes,3,3,3,3,1,1,"Uses_MFA,Personal_Device_Use,Admin_Priv"
35-44,Female,Other,Entry,1-3 yrs,On-site,Permanent,3-6 mo,Yes,4,95,Yes,Rarely,Always,Never,Sometimes,No,3,1,3,3,0,0,Uses_MFA
25-34,Female,Marketing,Director,> 10 yrs,Hybrid,Permanent,6-12 mo,No,4,63,Yes,Always,Sometimes,Rarely,Rarely,No,3,5,2,4,1,1,"Uses_MFA,Early_Password_Change"
18-24,Male,Sales,Manager,5-10 yrs,Hybrid,Contractor,< 3 months,No,4,34,No,Often,Always,Sometimes,Sometimes,No,2,2,3,2,2-3,2,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
35-44,Male,Operations,Intermediate,1-3 yrs,Hybrid,Permanent,< 3 months,Yes,2,83,Yes,Sometimes,Always,Sometimes,Often,No,5,4,4,2,1,1,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
25-34,Male,Marketing,Director,> 10 yrs,On-site,Permanent,3-6 mo,No,3,77,Yes,Always,Always,Sometimes,Never,No,4,3,3,4,0,0,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
18-24,Female,HR,Intermediate,3-5 yrs,Hybrid,Permanent,3-6 mo,Yes,3,77,Yes,Always,Sometimes,Always,Sometimes,No,4,3,3,3,1,1,"Uses_MFA,Early_Password_Change,Personal_Device_Use"
45-54,Male,Marketing,Manager,3-5 yrs,Hybrid,Permanent,6-12 mo,Yes,2,50,No,Sometimes,Always,Often,Often,No,2,5,3,3,2-3,3,"Uses_MFA,Reports_Phishing,Personal_Device_Use"
